Country,Country Code,GDP ($USD billions PPP) 2018,GDP ($USD billions PPP) 2019,GDP ($USD billions PPP) 2020,GDP ($USD billions PPP) 2021,"health expenditure 
% of GDP 2014","health expenditure 
% of GDP 2015","health expenditure 
% of GDP 2016","health expenditure 
% of GDP 2017","health expenditure 
% of GDP 2018","health expenditure 
% of GDP 2019","health expenditure 
% of GDP 2020","health expenditure 
% of GDP 2021 or later",Military Spending as % of GDP (2019),Military Spending as % of GDP (2021),unemployment (%) 2018,unemployment (%) 2021,GDP per capita in $ (PPP) 2018,GDP per capita in $ (PPP) 2019,GDP per capita in $ (PPP) 2020,GDP per capita in $ (PPP) 2021,health expenditure per person ($) 2015,health expenditure per person ($) 2018,health expenditure per person ($) 2019
Colombia,COL,710.89,733.55,681.84,753.87,4.63,4.47,4.48,4.54,4.45,4.51,4.93,4.93,3.2,3.4,9.9,14.34,15044,15673,14868,16894,853,513.16,495.33
Comoros,COM,2.56,2.6,2.6,2.66,2.74,2.55,2.55,2.55,2.55,2.55,2.55,2.55,0,0,20,9.45,3147,3188,3148,3284,121,69.42,72.32
Congo (Dem. Rep.),COD,91.29,95.29,96.95,102.48,1.95,2.17,2.12,1.45,1.45,2.45,2.45,2.7,2.7,0.56,3.6,5.43,1112,1144,1142,1219,34,18.52,20.57
Congo (Rep.),COG,20.6,20.58,19.3,18.62,3.18,3.28,5.24,4.45,3,3.58,4.45,4.45,0.7,2.91,11.2,23.01,4022,3987,3689,3617,203,49.46,48.56
Costa Rica,CRI,103.35,105.85,101.56,109.26,6.68,6.87,6.89,7.07,6.77,6.8,6.71,6.71,0,0,9,17.95,21319,22632,22244,23387,1286,909.67,921.59
Cote d'Ivoire,CIV,126.19,134.05,136.67,146.27,3.31,3.49,3.97,3.8,3.24,3.72,3.44,3.44,1.1,1.25,9.3,3.47,5154,5433,5465,5940,190,72.17,75.09
Croatia,HRV,115.25,119.26,109.6,121.05,3.85,3.85,3.85,3.85,3.91,3.91,3.91,3.91,1.7,2.74,13.5,8.68,28877,30544,28780,33801,1656,1014.22,1040.09
Cuba,CUB,0,0,0,0,0,0,0,0,0,0,0,0,2.9,2.9,2.9,2.76,0,0,0,0,986.9,986.94,1031.92
Cyprus,CYP,34.78,36.62,34.8,36.71,6.44,6.33,6.15,5.72,5.72,5.72,5.72,5.72,1.6,1.99,11.7,6.13,40559,42339,39593,42556,2137,1981.78,1996.46
Czech Republic,CZE,424.48,437.34,411.99,425.76,3.97,5.75,5.55,3.81,4.27,4.27,4.27,4.27,1.2,1.43,4,2.89,41135,42847,41608,44261,2470,1765.59,1844.22
Denmark,DNK,325.48,332.36,325.51,340.79,7.63,7.63,7.75,7.75,6.79,6.79,6.79,6.79,1.3,1.37,6.1,4.8,57483,58701,60230,64651,5083,6216.77,6003.33
Djibouti,DJI,4.85,5.12,5.18,5.41,3.5,3.59,3.92,3.75,3.63,3.63,3.63,3.63,3.7,3.7,6.6,28.39,5181,5482,5533,5926,147,71.09,61.81
Dominican Republic,DOM,188.23,197.74,184.45,207.08,3.96,3.82,3.85,3.92,3.93,4.04,4.62,4.62,0.7,0.65,14.4,8.5,18135,19190,17934,20769,873,461.54,491.06
Ecuador,ECU,197.53,197.55,182.16,189.88,5.26,5,4.36,4.61,4.62,4.23,4.13,4.13,2.3,2.46,5.4,6.43,11838,11850,10890,11661,980,495.17,486.49
Egypt,EGY,1118.72,1180.89,1223.04,1263.73,4.25,3.93,4.05,4.05,2.61,2.61,2.48,2.48,1.2,1.3,12,9.33,11638,12260,12606,13316,495,125.55,149.84
El Salvador,SLV,55.32,56.64,51.78,57.37,3.82,3.91,3.83,3.73,3.61,3.39,3.39,3.39,1.2,1.37,6.3,5.94,8822,9147,8420,9669,578,288.52,300.05
Equatorial Guinea,GNQ,26.68,25.22,24.15,23.92,0,0,0,0,0,0,0,0,1.1,1.31,7.3,9.24,20873,19385,18158,18127,790,310.58,254.89
Eritrea,ERI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3,8.05,0,0,0,0,56,23.98,25.27
Estonia,EST,46.4,48.3,46.87,50.79,4.39,5.14,5.16,4.96,5.26,5.26,5.26,5.26,2.1,2.16,6.9,6.33,36249,37851,37645,42192,1887,1552.63,1598.82
Eswatini,SWZ,9.68,9.93,9.75,10.47,7.07,5.36,5.41,6.14,5.68,5.65,5.34,5,1.8,1.7,25.3,25.76,8725,9018,8865,9816,298.1,298.12,264.06
Ethiopia,ETH,229.76,248.97,264.06,278.94,4.6,4.74,5.06,5.65,5.07,5.07,5.07,5.07,0.6,0.53,5.7,3.69,2154,2315,2423,2600,66,24.29,26.74
Fiji,FJI,12.23,12.18,10.33,9.91,4.27,4.81,4.84,4.65,4.84,5.07,5.07,5.07,1.6,1.65,7.9,5.24,14177,14262,12158,12060,331,216.1,235.68
Finland,FIN,265.02,268.25,262.09,271.19,7.1,7.03,6.85,6.36,6.28,6.28,6.28,6.28,1.5,2.03,9,7.53,49581,50322,50937,55007,3669,4515.68,4450.3
France,FRA,3038.64,3094.65,2851.55,3050.12,5.45,5.45,5.45,5.45,5.41,5.41,5.41,5.41,1.9,1.95,10,8.06,46577,49072,46991,50729,4542,4657.75,4491.74
Gabon,GAB,31.25,32.47,31.87,32.35,2.67,2.99,2.66,3.33,2.93,2.73,3.18,3.18,1.6,1.71,18.5,22.26,15096,15577,15105,15598,481,218.48,215.02
"Gambia, The",GMB,4.92,5.23,5.22,5.51,2.23,2.16,2.02,2.46,2.37,2.79,2.76,2.76,0.8,0.75,29.7,11.21,2210,2320,2277,2434,35.8,35.81,29.73
Georgia,GEO,53.12,55.76,51.99,57.38,3,3.16,3.59,3.57,3.52,3.81,3.85,3.85,2,1.67,11.6,10.66,14594,15622,14731,16997,718,312.75,291.12
Germany,DEU,4434.37,4481.17,4276.4,4400.1,4.92,4.86,4.84,4.87,4.98,4.98,4.98,4.98,1.3,1.34,4.3,3.54,55235,55653,54845,57928,5357,5481.99,5440.25
Ghana,GHA,158.22,168.52,169.38,178.46,4.4,4.43,4.39,3.53,3.89,3.89,3.89,3.89,0.4,0.49,5.8,4.7,5442,5774,5750,6178,249,76.83,75.28
Greece,GRC,312.77,318.41,289.69,313.84,3.66,3.66,3.66,3.48,3.6,3.6,3.6,3.6,2.6,3.87,23.9,14.8,29618,30356,27949,31295,2204,1572.68,1500.59
Guatemala,GTM,138.33,143.68,141.5,152.15,2.99,3.03,2.94,2.95,3.14,3.2,3.3,3.3,0.4,0.44,2.4,3.57,8664,9019,8853,9769,444,259.62,271.02
Guinea,GIN,31.03,32.78,34.3,35.37,2.42,2.52,2.54,2.32,2.38,1.85,2.2,2.2,2,1.48,6.8,6.34,2559,2675,2754,2879,57,35.71,43.04
Guinea-Bissau,GNB,3.56,3.73,3.64,3.77,2.2,2.3,2.3,2.2,2.14,2.95,2.71,2.71,1.4,1.78,6.5,6.76,1947,2021,1949,2057,100,61.24,62.58
Guyana,GUY,9.72,10.24,14.69,17.62,4.36,3.9,4.74,4.66,4.45,4.45,4.45,4.45,1.7,0.96,11.4,16.42,12776,13634,19703,24494,336,301.45,325.89
Haiti,HTI,35.21,34.62,33.46,32.86,1.75,1.86,1.4,1.5,1.63,1.63,1.63,1.63,0,0.19,13.2,15.73,3241,3203,3095,3127,120,63.14,56.99
Honduras,HND,54.46,55.91,50.89,57.27,7.09,6.41,5.16,4.94,6.06,4.91,6.44,6.44,1.6,1.61,6.3,8.51,5816,5978,5420,6253,353,180.89,187.55
Hungary,HUN,304.23,318.09,303.89,325.46,4.6,4.49,4.61,4.61,4.62,4.62,4.62,4.62,1.2,1.64,5.2,4.12,62514,62103,58980,65973,1912,1074.02,1062.39
Iceland,ISL,20.04,20.53,19.19,19.9,7.64,7.46,7.43,7.58,7.56,7.56,7.56,7.56,0,0,3.8,5.4,31913,33515,33274,36753,4116,6565.88,6274.96
India,IND,8811.12,9140.47,8537.55,9301.49,4.11,4.11,4.25,4.31,4.36,4.41,4.47,4.47,2.4,2.66,3.5,5.98,6670,6972,6525,7334,238,60.27,63.75
Indonesia,IDN,3043.88,3196.66,3130.65,3246.21,3.29,3.58,3.5,2.67,3,2.84,2.84,2.84,0.7,0.7,5.6,4.41,11643,12311,12072,12904,369,111.66,120.12
Iran,IRN,1252.49,1235.71,1257.48,1258,2.8,2.8,3.37,3.79,3.96,3.66,3.59,3.59,2.3,2.3,11.3,11.46,15677,15533,15791,15791,1262,484.29,470.43
Iraq,IRQ,405.71,428.08,379.6,390.17,4.49,4.49,4.71,4.71,4.71,4.71,4.71,4.71,3.5,2.28,16,14.19,10808,11349,9954,10409,481,239.41,253.31
Ireland,IRL,407.52,427.56,452.65,513.66,4.88,3.76,3.74,3.51,3.39,3.39,3.39,3.39,0.3,0.26,8.1,6.63,84556,87380,93350,106456,5335,5484.22,5428.59
Israel,ISR,354.45,367.83,359.91,389.38,5.77,5.86,5.86,6.06,6.11,6.11,6.11,6.11,5.3,5.17,5.6,5.05,39906,40004,39489,43722,2819,3329.23,3456.39
Italy,ITA,2540.49,2553.2,2322.75,2477.07,4.06,4.07,3.82,4.04,4.26,4.26,4.26,4.26,1.4,1.52,11.5,9.83,43036,44376,41988,45936,3351,3000.71,2905.5
Jamaica,JAM,28.57,28.83,25.94,27.14,6.02,5.46,5.31,5.26,5.41,5.16,5.62,6.03,1.6,1.41,13.3,9.18,9967,10190,9241,10026,511,319.88,327.4
Japan,JPN,5292.99,5280.27,5042.29,5124.02,3.55,3.55,3.15,3.13,3.08,3.08,3.08,3.08,0.9,1.07,3.1,2.8,42116,42283,42100,42940,4405,4256.1,4360.47
Jordan,JOR,99.79,101.74,100.16,102.37,3.8,3.45,3.45,3.23,2.98,2.99,2.99,2.99,4.7,5.02,13.2,19.25,10253,10496,10354,10952,568,335.21,334.04
Kazakhstan,KAZ,466.86,487.87,475.67,494.7,3.42,2.79,2.98,2.75,2.62,2.86,2.86,2.86,1.1,0.87,5.2,4.9,26155,27464,26750,28600,903,275.85,272.97
Kenya,KEN,223.03,234.44,233.85,251.43,4.72,4.74,4.9,4.96,5.11,4.97,5.08,4.8,1.2,1.12,11,5.74,4443,4647,4587,5024,157,73.54,83.41
Korea (Dem. People’s Rep.),PRK,0,0,0,0,11.23,9.86,10.09,10.86,11.97,12.39,12.39,12.39,0,0,4.3,2.59,2198,2192,2172,2172,0,0,0
Korea (Rep.),KOR,2164.81,2213.39,2194.53,2282.78,0,0,0,0,0,0,0,0,2.7,2.78,3.7,3.53,0,0,0,0,2543.6,2543.6,2624.53
Kosovo,-,19.33,20.25,19.17,20.92,4.33,4.33,4.33,4.33,4.46,4.46,4.46,4.46,0.8,0.94,0,0,43044,42998,45226,46918,0,0,0
Kuwait,KWT,211.3,210.13,191.52,191.5,4.4,4.77,5.85,6.37,6.39,6.49,6.55,6.55,5.6,6.69,2.4,3.71,52291,52055,47303,47303,2978,1733.81,1758.67
Kyrgyzstan,KGZ,32.46,33.95,31.1,32.22,5.53,5.99,6.59,6.03,5.55,5.37,5.37,5.55,1.5,1.67,7.7,9.1,5256,5480,4985,5288,287,65.74,62.14
Laos,LAO,53.62,56.54,56.83,58.26,2.94,2.94,2.52,2.52,2.37,2.3,2.23,2.23,0.2,0.2,1.5,1.26,7774,8220,8238,8674,57.7,57.71,68.22
Latvia,LVA,57.91,59.35,57.11,59.67,5.28,5.28,4.66,4.37,4.24,4.24,4.24,4.24,2,2.28,9.9,7.6,30877,31883,31425,34469,1429,1101.49,1166.8
Lebanon,LBN,106.74,99.36,73.62,65.88,2,2.1,2.12,2.13,2.52,2.59,,2.52,4.2,4.2,6.8,14.49,15933,15105,11377,10691,1117,695.06,663.05
Lesotho,LSO,5.51,5.64,5.22,5.27,7.2,9,7.76,8.16,7.29,7.99,7.67,8.7,1.5,1.29,27.4,24.6,2677,2768,2569,2682,251,124.69,124.19
Liberia,LBR,7.44,7.26,7.04,7.32,2.2,2.17,2.15,2.66,2.5,2.27,2.31,2.69,0.5,0.95,4,4.09,1581,1532,1468,1553,128,61.22,52.56
Libya,LBY,166.7,148.04,112.61,147.94,0,0,0,0,0,0,0,0,15.5,15.5,19.2,19.58,25557,22764,17286,23357,0,0,0
Lithuania,LTU,99.31,103.85,103.71,108.9,4.49,4.23,4,3.81,3.89,3.89,3.89,3.89,2,2.02,9.2,7.9,36376,38541,38881,42665,1875,1249.03,1369.98
Luxembourg,LUX,69.94,72.24,70.96,75.84,3.86,3.77,3.77,3.49,3.65,3.65,3.65,3.65,0.6,0.63,5.9,5.23,116966,117342,117846,134754,6382,6227.08,6220.74
Macedonia,MKD,33.52,34.83,32.7,34,2.05,3,3.1,2.71,2.73,3.06,6.3,6.3,1.2,1.54,26.7,16.2,16796,17546,16720,17918,857,399.1,436.89
Madagascar,MDG,41.81,43.65,40.53,42.32,2.38,2.21,2.69,2.7,2.84,2.99,3.1,3.1,0.6,0.77,2.1,2.59,1630,1687,1544,1635,77,22.34,19.85
Malawi,MWI,27.16,28.64,28.86,29.66,4.84,5.61,4.75,4.03,3.32,3.71,2.91,2.91,0.9,0.95,6.7,7.02,1532,1602,1591,1658,108,37.43,30.4
Malaysia,MYS,869.46,908.06,856.78,883.62,5.21,4.89,4.75,4.68,4.48,4.16,3.92,3.92,1,1.06,3.3,4.61,28236,29621,27921,29617,1064,426.47,436.61
Maldives,MDV,9.69,10.36,6.89,9.02,3.09,3.89,3.69,3.89,3.91,4.12,4.12,4.12,0,0,3.2,6.08,19243,20334,13442,18232,1514,786.44,854.37
Mali,MLI,43.57,45.64,45.08,46.46,3.65,3.8,3.09,3.79,3.91,3.48,3.76,3.76,2.7,2.82,8.1,7.72,2338,2420,2348,2447,118,33.4,34.28
Malta,MLT,21.62,22.88,20.97,22.95,7,5.02,5.08,4.65,4.65,4.65,4.65,4.65,0.6,0.51,5.3,3.5,45569,47408,43243,47714,3471,2753.51,2531.91
Mauritania,MRT,22.87,24.19,23.76,24.31,1.94,1.94,1.94,1.94,1.82,1.82,1.88,1.88,2.8,2.38,11.7,11.46,5317,5570,5390,5592,177,57.3,57.88
Mauritius,MUS,28.1,28.95,24.64,25.63,4.92,4.89,5.01,5.02,4.83,4.72,4.61,4.61,0.2,0.17,7.8,7.41,22739,23835,20529,22240,1099,656.62,685.95
Mexico,MEX,2514.78,2510.1,2305.1,2415.68,5.26,5.23,4.91,4.52,4.25,4.25,4.25,4.25,0.5,0.68,4,4.38,20096,19863,18671,20036,1009,521.01,540.37
Moldova,MDA,33.48,34.72,32.15,36.64,6.27,5.81,5.61,5.62,5.44,6.1,6.39,6.39,0.4,0.41,5,3.96,12659,13576,12942,15637,515,276.47,284.31
Mongolia,MNG,38.13,40.27,38.43,38.98,4.71,4.22,5.18,4.07,6.17,4.94,4.94,4.94,0.7,0.66,6.7,7.08,12316,13013,12366,12863,470,159.38,163.44
Montenegro,MNE,12.87,13.39,11.34,12.75,0,0,0,0,0,0,0,0,1.6,1.74,17.5,18.49,21513,23073,19990,22795,957,731.48,735.16
Morocco,MAR,272.53,279.64,262.04,281.36,4.65,4.65,5.12,5.12,5.35,5.93,6.75,6.75,3.1,4.18,10,11.47,7625,7865,7369,8144,435,174.78,174.22
Mozambique,MOZ,38.04,38.92,38.44,39.3,6.88,6.01,5.87,5.51,5.45,6.08,6.26,6.26,0.9,1.51,24.4,3.98,1321,1336,1297,1342,64,40.73,39.46
Myanmar,MMR,239.96,256.16,264.29,216.76,1.9,2.1,1.9,2.33,2.16,2.14,2.16,2.16,3.3,3.33,0.8,2.17,4575,4940,5123,4345,267,59.21,60.02
Namibia,NAM,24.7,24.47,22.54,23.09,9.58,9.85,10.64,9.71,8.88,8.93,9.45,9.64,3,3,25.6,21.68,10328,10223,9359,9805,942,464.48,427.26
Nepal,NPL,106.03,113.08,110.4,115.09,3.47,3.26,3.9,4.77,4.43,4.24,4.39,4.39,1.6,1.34,3.2,5.05,13960,14097,14337,15103,151,51.14,53.25
Netherlands,NLD,966.02,984.91,947.5,995.21,5.46,5.35,5.48,5.18,5.36,5.36,5.36,5.36,1.3,1.42,6.2,4.01,57827,59004,59267,63767,5313,5336.98,5335.3
New Zealand,NZL,210.05,214.66,211.97,221.82,6.34,6.33,6.41,6.26,6.05,6.05,6.05,6.05,1.5,1.37,5.2,4.12,42521,45555,44658,46420,3530,4037.46,4211.05
Nicaragua,NIC,37.05,35.65,35.01,38.63,4.08,4.08,4.08,4.36,4.47,4.6,4.63,4.63,0.7,0.6,5.9,5.96,5867,5676,5574,6332,406,173.49,160.76
Niger,NER,26.94,28.54,29.56,29.96,5.1,4.49,2.96,2.58,3.46,3.53,3.84,3.84,1.8,1.84,2.6,0.75,1229,1276,1288,1310,68,30.27,31.4
Nigeria,NGA,1009.75,1032.05,1013.53,1050.5,0,0,0,0,0,0,0,0,0.5,0.97,5,9.79,5278,5352,5186,5459,215,66.55,71.47
Norway,NOR,341.78,344.32,341.85,355.26,7.7,7.57,8.03,7.91,7.64,7.64,7.64,7.64,1.7,1.84,4.8,4.99,69808,66799,62645,79201,6222,8271.86,8007.4
Oman,OMN,157.42,155.64,150.66,150.7,5.84,5.84,5.84,5.84,5.21,5.41,5.41,5.41,8.8,7.34,17.5,3.12,33373,32604,31118,31118,1636,677.96,624.74
Pakistan,PAK,1123.58,1151.65,1136.33,1204.85,2.47,2.65,3,2.9,2.51,2.51,2.51,2.51,4,3.83,5.9,4.35,5421,5542,5426,5878,134,42.87,39.5
Panama,PAN,129.65,133.51,109.55,126.35,2.84,2.84,2.85,2.88,2.88,3.13,3.91,3.91,0,0,5.8,12.09,31781,32767,26780,31680,1543,1131.66,1192.82
Papua New Guinea,PNG,36.06,37.67,36.35,36.9,1.96,1.96,1.96,1.96,1.87,1.87,1.87,1.87,0.4,0.38,2.5,2.75,4290,4474,4286,4445,99,63.49,65.08
Paraguay,PRY,89.23,88.87,88.14,91.85,4.79,3.34,3.34,3.09,3.28,3.47,3.3,3.3,1,0.97,5.4,7.21,13134,13148,13035,13976,724,390.05,388.39
Peru,PER,408.87,418.03,372.24,421.94,3.7,3.97,3.81,3.93,3.71,3.82,4.25,4.25,1.2,1.12,4.9,4.83,13087,13401,11908,13895,671,365.86,370.11
Philippines,PHL,908.26,963.83,872.09,921.83,2.79,3.33,3.57,4.4,3.13,3.23,3.88,3.88,1,1.04,5.9,2.41,8720,9291,8394,9120,323,128.58,142.08
Poland,POL,1202.82,1259.89,1227.88,1298.27,4.94,4.81,4.63,4.56,4.62,4.62,4.62,4.62,2,2.12,6.2,3.37,31953,33798,34287,37503,1704,978.74,1014.04
Portugal,PRT,350.07,359.46,329.11,345.18,5.12,4.89,4.89,5.02,4.68,4.68,4.68,4.68,1.9,2.07,11.2,6.65,34929,36172,34177,35888,2661,2216.31,2221.44
Qatar,QAT,253.05,255.01,245.73,249.47,3.61,3.61,2.97,2.97,2.97,2.8,3.23,3.23,1.5,4.81,0.2,0.26,93143,93844,89961,93521,3900,1730.18,1807.15
Romania,ROU,555.46,578.73,557.04,589.79,3.12,3.11,2.98,3.1,3.34,3.34,3.34,3.34,2,1.95,6.4,5.17,29342,31867,32202,35414,1090,687.15,738.56
Russia,RUS,3913.98,4000.01,3892.68,4080.29,4.01,3.83,3.76,4.69,4.68,4.68,4.68,4.68,3.9,4.08,5.7,5.01,28821,30068,29916,32803,1414,609.01,653.42
Rwanda,RWA,25.7,28.13,27.18,30.14,4.2,3.65,3.44,3.13,3.07,3.24,3.33,3.82,1.2,1.55,2.5,1.61,2139,2322,2214,2494,143,52.3,51.4
Saudi Arabia,SAU,1605.26,1610.62,1543.98,1594.02,8.51,8.51,8.51,8.02,7.09,6.79,7.81,7.81,8,6.59,5.5,7.36,48768,48984,46778,49551,3121,1341.52,1316.26
Senegal,SEN,52.47,54.89,55.62,58.99,5.72,5.46,5.11,4.62,4.86,5.35,5.5,5.5,1.5,1.76,9.5,3.72,3389,3510,3504,3769,97,61.8,59.1
Serbia,SRB,121.87,127.14,125.94,135.25,3.93,3.79,3.63,3.71,3.58,3.62,3.62,3.58,2.2,2.09,16.5,11.81,17718,18822,19094,21432,1324,617.09,641.03
Sierra Leone,SLE,12.66,13.32,13.06,13.46,2.66,3.06,3.06,4.66,6.99,7.45,8.81,8.81,0.7,0.61,3,5.33,1694,1777,1727,1816,256,44.27,46.16
Singapore,SGP,554.49,560.57,537.34,578.25,2.92,2.86,2.87,2.77,2.86,2.74,2.51,2.51,3.2,2.98,1.8,3.62,100686,102431,99681,116486,3681,2667.67,2632.71
Slovakia,SVK,169.72,174.14,166.55,171.58,4.23,4.59,3.91,3.94,3.97,3.97,3.97,3.97,1.8,1.71,10,6.74,31215,31967,31356,33010,2062,1299.91,1342.07
Slovenia,SVN,78.78,81.34,77.9,84.22,5.29,4.91,4.79,4.78,4.94,4.94,4.94,4.94,1.1,1.22,8.7,4.42,38962,40671,39725,43625,2734,2169.58,2219.1
